3	3	101
24	6	9
567	1	9
11232	0	1747
460	12	295
57	12	295
707	1	487
18	1	151
1027	3	119
354	7	119
8569	0	119
119	0	69
119	0	80
1206	0	119
107	12	554
13313	2	554
2587	13	554
107	8	554
2035	6	554
87	0	9
87	0	11
87	0	30
87	0	20
1135	11	17
1135	10	17
16	1	17
10141	5	17
16	11	17
993	10	314
1045	10	574
574	10	314
1688	3	295
83	1	57
4139	1	99
4139	3	99
7288	9	3294
5066	2	30
3650	1	144
11	1	11
3399	1	80
161	7	80
4438	2	310
1350	2	1262
6149	10	1262
5132	6	10185
2595	1	144
122	6	144
1757	3	144
3976	0	20
3976	10	20
86	1	57
86	4	57
614	0	57
614	1	57
86	10	57
2326	2	58
2559	2	58
344	0	9
1136	3	9
9	4	9
3351	5	9
11467	11	11
1835	2	11
11467	3	11
11	3	11
7388	6	11
221	14	57
4330	14	221
1	2	57
5299	2	57
7435	0	57
9187	0	57
6667	3	57
4809	0	493
354	0	493
493	0	99
493	0	58
6651	0	519
3409	0	519
48	1	484
7089	1	484
9431	0	172
3937	11	9
8405	0	9
4980	0	9
3937	1	9
1807	1	9
8405	7	9
4980	7	9
9520	0	9
2266	0	9
3937	4	9
8405	10	9
4980	10	9
9	7	9
12232	4	9
582	0	9
3891	1	30
2217	3	144
6311	1	9
140	7	119
3354	3	119
2	2	9
12461	11	9
12461	11	20
559	8	9
7089	11	144
2981	2	151
1350	2	151
5043	1	151
5043	0	151
341	1	99
11382	6	6957
274	0	20
20	12	20
532	1	9
1578	9	58
8141	2	58
6632	1	151
78	1	1891
607	1	78
5142	4	78
7150	4	78
78	10	1891
78	3	292
2	0	78
51	0	78
6490	1	737
12074	5	144
12661	2	9
12661	8	9
10141	6	9
7429	12	9
10571	6	9
12450	12	9
3976	10	9
1095	0	11
1095	0	9
5603	1	101
11725	4	101
10571	4	101
5510	0	101
4240	10	101
4240	3	101
2	10	1456
186	2	1456
2	4	1456
73	2	2899
7150	6	20
16	0	17
4823	4	101
3035	1	101
10571	0	101
2588	1	101
18	3	101
11790	4	101
2852	4	101
12431	0	101
5510	1	69
388	2	69
3035	3	69
4785	2	69
6917	3	69
11409	2	69
1	2	69
1	1	69
239	0	30
239	4	20
16	10	17
607	2	17
4414	10	17
1532	2	17
301	6	69
301	6	101
4785	2	101
4823	3	80
4823	3	58
5510	0	69
5510	0	80
5510	0	58
91	3	69
91	3	101
91	3	80
91	3	58
2090	1	58
2090	1	112
2090	1	1745
2090	1	808
10450	1	172
291	0	172
2	2	552
158	0	552
532	8	2642
12232	3	9
12232	4	11
176	3	566
11409	2	99
4438	2	99
1	2	99
858	4	99
4320	0	99
1739	4	99
1739	0	99
73	2	99
80	1	80
3035	4	80
10571	4	80
12431	4	69
1374	1	80
8225	4	119
60	4	119
5	4	119
5	3	119
690	4	119
823	4	119
91	4	119
5241	4	119
1144	0	9
3167	1	119
4785	1	80
9246	1	80
1374	0	80
11	0	11
4748	0	734
11042	1	11
7871	1	3704
9414	1	20
443	1	20
856	2	58
10356	2	58
721	2	58
388	2	58
11868	1	58
3035	11	119
11773	5	119
1882	6	119
3	0	119
91	1	119
1268	2	119
1739	7	99
528	0	99
519	0	99
3490	2	99
9874	2	11
28	2	11
14	2	11
849	2	11
1	2	11
11	2	20
11	2	30
5315	1	11
10933	10	20
1191	0	20
1324	0	20
711	0	228
459	9	119
18	0	119
793	0	367
